soil_ph,soil_moisture,nitrogen,phosphorus,potassium,temperature,humidity,crop,irrigation_mm
6.62,57.54,116,76,25,19.68,40.14,Cotton,57.46
5.56,58.5,47,6,25,33.52,69.76,Wheat,42.34
5.52,11.15,68,46,19,28.68,81.04,Maize,57.8
7.28,12.32,60,11,25,28.51,30.86,Sugarcane,139.48
8.33,38.16,18,57,134,35.53,58.61,Wheat,55.71
5.6,55.47,59,8,6,27.75,43.52,Wheat,38.28
7.2,11.57,53,38,18,36.82,51.23,Cotton,90.31
8.38,52.23,91,57,28,25.7,48.26,Rice,97.35
7.13,17.05,24,49,69,15.47,57.52,Cotton,64.93
5.54,19.94,145,39,37,33.18,90.21,Maize,47.29
7.45,55.75,81,16,37,16.91,50.21,Sugarcane,113.6
7.41,54.36,110,51,135,37.82,66.48,Rice,79.29
7.81,34.69,146,19,94,15.76,37.01,Maize,45.05
6.44,35.43,38,40,17,17.31,48.83,Cotton,60.86
5.98,56.48,54,66,138,28.7,44.2,Sugarcane,117.92
6.47,16.1,138,31,125,39.54,85.95,Maize,56.31
5.52,35.54,146,66,55,23.08,45.87,Rice,92.76
7.17,30.19,71,62,56,22.41,75.26,Sugarcane,119.93
7.64,17.4,90,63,117,44.3,56.72,Sugarcane,143.8
7.4,44.04,62,48,72,17.43,54.03,Rice,84.13
6.23,50.16,78,74,143,39.49,81.89,Sugarcane,114.45
7.59,52.92,99,71,100,17.89,91.13,Sugarcane,95.9
6.69,35.89,113,5,15,25.23,37.38,Rice,101.56
7.95,37.76,69,6,133,17.79,88.32,Cotton,46.87
8.2,41.66,18,23,52,40.4,85.66,Cotton,64.47
8.05,56.78,113,29,97,23.52,49.85,Rice,78.56
6.96,32.42,77,37,146,24.76,78.52,Maize,46.32
7.47,38.42,124,26,42,44.37,61.64,Sugarcane,130.59
8.22,31.72,30,34,101,32.31,62.01,Sugarcane,131.45
6.34,11.22,58,21,50,42.45,54.06,Wheat,74.03
5.55,56.42,55,57,99,43.91,85.45,Wheat,36.75
8.05,25.85,137,22,29,26.84,84.87,Sugarcane,118.09
8.29,13.52,123,36,90,25.76,46.52,Maize,56.41
8.05,16.83,48,46,30,39.3,86.36,Wheat,60.75
8.24,35.57,66,40,24,34.5,75.63,Cotton,64.94
6.51,28.78,75,36,90,24.84,40.08,Rice,102.65
8.45,51.95,67,53,74,24.1,64.91,Sugarcane,115.12
6.31,58.26,112,72,10,16.55,64.54,Cotton,40.38
